name,operator,operator_norm,lat,lon,v6_layer,confidence,promotion_action,promotion_note,source_category,n_sources,physical_facility,address,source,note,ADMIN,CONTINENT,ISO_A3,SUBREGION,_source_file,cluster_id,coord_confidence,facility_type,has_operator,in_both_sources,merge_distance_m,merge_matched_name,merge_status,name_normalized,operator_tier,osm_id,osm_type,provider,region_code,sources,status,wikidata_id,year,v7_status,v7_pending_review,v7_change_log
AWS Asia Pacific (Malaysia),AWS,AWS,3.139,101.687,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,https://www.mida.gov.my/media-release/amazon-web-services-aws-announces-rm25-5-billion-investment-to-launch-an-aws-cloud-computing-infrastructure-in-malaysia/,"logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment) | [v6_row_68 provenance merged v7.1]: operators=AWS, Google | locations=Kuala Lumpur | capex=RM25.5 Billion, RM25.5 Billion, RM25.5 Billion | published=2 March 2023 | title=Amazon Web Services (AWS) Announces RM25.5 Billion Investment to Launch an AWS Cloud Computing Infrastructure In Malaysia - MIDA | Malaysian Investment Development Authority || operators=AWS, Google | locations=Kuala Lumpur | capex=US$8.8 billion, US$8.5 billion, US$17.6 billion | published=2025-01-06 | title=AWS sees strong growth in Asean cloud services market - MIDA | Malaysian Investment Development Authority || co_sources=https://www.mida.gov.my/media-release/mida-applauds-microsofts-establishment-of-cutting-edge-cloud-and-ai-infrastructure-propelling-malaysia-ahead-of-the-curve-in-digital-transformation/; https://www.mida.gov.my/mida-news/mah-sing-partners-bridge-data-centres-to-launch-mah-sing-dc-hubsouthville-city/; https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=32",Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,AWS Asia Pacific (Malaysia),,,,AWS,ap-southeast-5,Cloud Provider (AWS),,,,updated,sweep_cotenant_pair:paired_with_v7_row_2 (haversine=0m),inherited from v6 master unchanged | v7.1 fix 1: absorbed v7_row_68 (duplicate AWS logical-region pin); v7_row_68 deleted.
Alibaba Cloud Malaysia (Kuala Lumpur),Alibaba,Alibaba,3.142,101.69,v5.1,0.7167,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Alibaba Cloud Malaysia (Kuala Lumpur),,,,Alibaba,ap-southeast-3,Cloud Provider (Alibaba),,,,inherited,,inherited from v6 master unchanged
Azure Malaysia West,Azure,Azure,3.139,101.687,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Azure Malaysia West,,,,Azure,malaysiawest,Cloud Provider (Azure),,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_0 (haversine=0m),inherited from v6 master unchanged
Google Cloud asia-southeast3 (Malaysia),GCP,GCP,3.14,101.688,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 3 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Google Cloud asia-southeast3 (Malaysia),,,,GCP,asia-southeast3,Cloud Provider (GCP),,,,inherited,,inherited from v6 master unchanged
IRIX DC,,IRIX DC,1.7096888,110.3534142,v5.1,0.2833,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",OSM Only,1,1.0,"1438, Jln Sultan, 93050 Kuching, Sarawak, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,physical_facility,False,False,,,,IRIX Data Center,,13197364001.0,,,,OpenStreetMap,,,,inherited,,inherited from v6 master unchanged
Oracle Cloud Kuala Lumpur (kix),Oracle,Oracle,3.141,101.689,v5.1,0.85,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Hyperscale Cloud,1,0.0,Address not publicly disclosed,,logical_region; 1 AZ(s) publicly disclosed; physical AZ-site discovery deferred (needs trade-press enrichment),Malaysia,Asia,MYS,South-Eastern Asia,,,source_native,cloud_region,True,False,,,,Oracle Cloud Kuala Lumpur (kix),,,,Oracle,ap-kuala-lumpur-1,Cloud Provider (Oracle),,,,inherited,,inherited from v6 master unchanged
Bridge Data Centres MY02 (Cyberjaya),Bridge Data Centres,Bridge Data Centres,2.9171543,101.6619044,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"7118, Jalan Impact, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Bridge Data Centres MY02 (Cyberjaya),,,,,,Trade Press (NER extraction),Unknown,,2024.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_42 (haversine=0m),inherited from v6 master unchanged
Bridge Data Centres (Johor),Bridge Data Centres,Bridge Data Centres,1.68,103.43,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"MCJJ+22 Kayu Ara Pasong, Johor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,Bridge Data Centres (Johor),,,,,,Trade Press (NER extraction),Unknown,,2024.0,inherited,,inherited from v6 master unchanged
AIMS Bangunan AIMS / KL2 (Kuala Lumpur),AIMS,AIMS,3.1493525,101.7060731,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Lot 17.01, 17th Floor, MCB Plaza 6, Changkat Raja Chulan, 50200, Kuala Lumpur, WP Kuala Lumpur, Bukit Ceylon, 50200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,AIMS Bangunan AIMS / KL2 (Kuala Lumpur),,,,,,Trade Press (NER extraction),Operational,,2024.0,pending_review,sweep_cotenant_pair:paired_with_v7_row_131 (haversine=43m),inherited from v6 master unchanged
AIMS Cyberjaya Block 2,AIMS,AIMS,2.938,101.657,v5.1,0.8667,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,2,1.0,"WMQ4+6Q Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,AIMS Cyberjaya Block 2,,,,,,Trade Press (NER extraction); OpenStreetMap,Unknown,,2025.0,pending_review,"review_per_dedup_3: AIMS has multiple Cyberjaya buildings (CJ1, Block 2, possibly more). PeeringDB labels one 'CJ1 Cyberjaya'; v5.1 has 'Block 2'. These may or may not be the same building — AIMS uses both conventions. Without an authoritative AIMS facility list, flag for human review rather than auto-merge. || see also dedup entry 3 (review): v6_row_74 vs v6_row_9; and dedup entry 4: v6_row_91 may describe same Cyber 3 building as v6_row_9 — three-way review needed before v8.","dedup_review (entry 3): rows [9, 74] | special_case:AIMS_three_way"
NTT Gelang Patah Campus (Johor),NTT DATA,NTT DATA,1.4515013,103.5970167,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"Jalan Skudai - Gelang Patah, 81550 Gelang Patah, Johor Darul Ta'zim, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,NTT Gelang Patah Campus (Johor),,,,,,Trade Press (NER extraction),Under Construction,,2027.0,inherited,,inherited from v6 master unchanged
NTT Cyberjaya CBJ6,NTT DATA,NTT DATA,2.9272384,101.6588555,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,1,1.0,"43000, Persiaran APEC, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,NTT Cyberjaya CBJ6,,,,,,Trade Press (NER extraction),Operational,,2024.0,pending_review,"not_duplicate_per_dedup_5: NTT's own newsroom confirms its Cyberjaya site is a campus with numbered buildings (CBJ1 through CBJ6); CBJ6 is a specific 2023 build (7 MW, 4,890 m²) that forms a 'combined facility' with CBJ5. The PeeringDB record fac/1902 (low ID, dating to early PDB era ~2010) labels just 'CBJ' and carries the c",dedup_not_duplicate_keep_both (entry 5): paired v6_row_11 ↔ v6_row_73
"YTL Green Data Center Park (Kulai, Johor) | YTL Green Data Center Park (Kulai)",YTL Power | YTL Data Center Holdings,YTL Power | YTL Data Center Holdings,1.6205686 | 1.656937,103.5215847 | 103.605879,v5.1 | v6_gapfill,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press | Operator Website,1 | 2,1.0 | True,"JGCC+6J Gunung Pulai Recreational Forest, Pekan Nanas, Johor Darul Ta'zim, Malaysia | Kulai, Johor",https://www.ytl.com/press-releases/ytl-green-data-center-park-launches-in-johor-the-first-integrated-data-center-park-powered-by-renewable-solar-energy-in-malaysia-2/ | https://www.ytl.com/sustainability/shownews.asp?newsid=4898&category=inthenews,"111ha campus, 500MW capacity over 10 years. Already in v5.1 — dedup expected. | geocoded via Nominatim (full_address): match='Kulai, Johor, 81000, Malaysia' importance=0.47155967231028945 | UPDATE target: v6_master row 12 (YTL Green Data Center Park (Kulai, Johor)). This candidate's sources (YTL operator + sustainability reports) enrich the existing v5.1 row's provenance; no new facility. | [correction_log]: §2b relabel building→approximate_locality: building→approximate_locality (no street token in match) || §3 action add_new→update_existing:12 (resolves self-contradiction with note)",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded | approximate_locality,physical_facility,True,False,,,,"YTL Green Data Center Park (Kulai, Johor)",,,,,,Trade Press (NER extraction),Unknown | Operational,,2023.0,updated,,"gapfill_update_existing: candidate row 23 merged into v6_row_12; appended:name, appended:operator, appended:operator_norm, appended:lat, appended:lon, appended:v6_layer, appended:source_category, appended:n_sources, appended:physical_facility, appended:address, filled:source, filled:note, appended:coord_confidence, appended:status"
Telekom Malaysia KVDC (Cyberjaya),Telekom Malaysia,Telekom Malaysia,2.9320918,101.6570765,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Trade Press,2,1.0,"Kompleks TM Cyberjaya, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",,,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Telekom Malaysia KVDC (Cyberjaya),,,,,,Trade Press (NER extraction); OpenStreetMap,Operational,,2019.0,inherited,,inherited from v6 master unchanged
