name,operator,lat,lon,sources,osm_id,wikidata_id,provider,region_code,facility_type,n_sources,ADMIN,ISO_A3,CONTINENT,SUBREGION,name_normalized,has_operator,in_both_sources,source_category,operator_norm,status,year,coord_confidence,cluster_id,address,source,note,osm_type,merge_status,merge_matched_name,merge_distance_m
JARING Bukit Jalil,Data Center Facility,3.046839,101.688963,PeeringDB fac 610,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,jaring bukit jalil,True,False,PeeringDB,Data Center Facility,,,source_native,,"Technology Park Malaysia, Kuala Lumpur, 57000",https://www.peeringdb.com/fac/610,pdb_id=610 | clli= | region=Asia Pacific | status=ok,,new,,
NTT Cyberjaya Data Center (CBJ),NTT DATA's Global Data Centers division,,,PeeringDB fac 1902,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,ntt cyberjaya data center cbj,True,False,PeeringDB,NTT DATA's Global Data Centers division,,,,,"43000 Jalan APEC, Cyberjaya, 63000",https://www.peeringdb.com/fac/1902,pdb_id=1902 | clli= | region=Asia Pacific | status=ok,,new,,
AIMS CJ1 Cyberjaya,AIMS Data Centre Sdn Bhd,,,PeeringDB fac 3168,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,aims cj1 cyberjaya,True,False,PeeringDB,AIMS Data Centre Sdn Bhd,,,,,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/3168,pdb_id=3168 | clli= | region=Asia Pacific | status=ok,,new,,
CX5 / MY02 Cyberjaya Malaysia,Bridge Data Centres,2.914565,101.649916,PeeringDB fac 4712,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,cx5 my02 cyberjaya malaysia,True,False,PeeringDB,Bridge Data Centres,,,source_native,,"MY02, Cyberjaya, 63000",https://www.peeringdb.com/fac/4712,pdb_id=4712 | clli= | region=Asia Pacific | status=ok,,new,,
"TM ONE Brickfields City DC, Kuala Lumpur",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5644,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one brickfields city dc kuala lumpur,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Tun Sambathan, Brickfields, 50470",https://www.peeringdb.com/fac/5644,pdb_id=5644 | clli= | region=Asia Pacific | status=ok,,new,,
"TM ONE, Plaza VADS",Telekom Malaysia Berhad (TM),3.139446,101.630177,PeeringDB fac 5654,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one plaza vads,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,source_native,,"Plaza VADS, Kuala Lumpur, 60000",https://www.peeringdb.com/fac/5654,pdb_id=5654 | clli= | region=Asia Pacific | status=ok,,new,,
"TM ONE KVDC, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5655,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one kvdc cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Lingkaran Teknokrat Timur, Cyberjaya, 63000",https://www.peeringdb.com/fac/5655,pdb_id=5655 | clli= | region=Asia Pacific | status=ok,,new,,
"TM ONE CBJ8, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5769,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one cbj8 cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/5769,pdb_id=5769 | clli= | region=Asia Pacific | status=ok,,new,,
"TM ONE PG1, Penang",Telekom Malaysia Berhad (TM),5.424515,100.325495,PeeringDB fac 5770,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one pg1 penang,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,source_native,,"39, Jalan Sultan Ahmad Shah, Georgetown, 10050",https://www.peeringdb.com/fac/5770,pdb_id=5770 | clli= | region=Asia Pacific | status=ok,,new,,
ModernOne Data Solutions Sdn. Bhd.,ModernOne Data Solutions Sdn. Bhd.,2.977314,101.796223,PeeringDB fac 6018,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,modernone data solutions sdn bhd,True,False,PeeringDB,ModernOne Data Solutions Sdn. Bhd.,,,source_native,,"No 93-2A, Jalan TKS 1,, Kajang, 4000",https://www.peeringdb.com/fac/6018,pdb_id=6018 | clli= | region=Asia Pacific | status=ok,,new,,
