name,operator,lat,lon,sources,osm_id,wikidata_id,provider,region_code,facility_type,n_sources,ADMIN,ISO_A3,CONTINENT,SUBREGION,name_normalized,has_operator,in_both_sources,source_category,operator_norm,status,year,coord_confidence,cluster_id,address,source,note,osm_type,merge_status,merge_matched_name,merge_distance_m,confidence,operator_tier,_source_file
Telekom Malaysia facility (Klang),Telekom Malaysia,3.0446,101.445,MIDA Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,telekom malaysia facility klang,True,False,MIDA Press Release,Telekom Malaysia,,2026.0,geocoded_with_campus_offset,,Klang,https://www.mida.gov.my/mida-news/telekom-malaysia-said-to-be-exploring-plans-to-build-new-hyperscale-data-centre/,"operators=Telekom Malaysia, Google | locations=Klang, Iskandar Puteri, Iskandar | capex=RM2.53 billion, RM22.87 billion | mw=40 Megawatts | published=2024-02-08 | title=Telekom Malaysia said to be exploring plans to build new hyperscale data centre - MIDA | Malaysian Investment Development Authority",,new,,,0.3133,sovereign_telco,mida_candidates.csv
Google facility (Petaling Jaya),Google,3.1073,101.6067,Gamuda Press Release,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,google facility petaling jaya,True,False,Gamuda Press Release,Google,,2026.0,geocoded_with_campus_offset,,Petaling Jaya,https://gamuda.com/2024/12/gamuda-to-acquire-20-stake-in-google-cloud-partner-for-rm18-million/press-releases/,"operators=Google | locations=Petaling Jaya, Penang | capex=RM18 million, RM18 million, RM18 million | published=10 December 2024 | title=Gamuda to acquire 20% stake in Google Cloud partner for RM18 million | Gamuda Berhad",,new,,,0.3133,hyperscaler,operator_ir_candidates.csv
JARING Bukit Jalil,Data Center Facility,3.046839,101.688963,PeeringDB fac 610,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,jaring bukit jalil,True,False,PeeringDB,Data Center Facility,,,source_native,,"Technology Park Malaysia, Kuala Lumpur, 57000",https://www.peeringdb.com/fac/610,pdb_id=610 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
NTT Cyberjaya Data Center (CBJ),NTT DATA's Global Data Centers division,,,PeeringDB fac 1902,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,ntt cyberjaya data center cbj,True,False,PeeringDB,NTT DATA's Global Data Centers division,,,,,"43000 Jalan APEC, Cyberjaya, 63000",https://www.peeringdb.com/fac/1902,pdb_id=1902 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier1_colo,peeringdb_candidates.csv
AIMS CJ1 Cyberjaya,AIMS Data Centre Sdn Bhd,,,PeeringDB fac 3168,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,aims cj1 cyberjaya,True,False,PeeringDB,AIMS Data Centre Sdn Bhd,,,,,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/3168,pdb_id=3168 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
CX5 / MY02 Cyberjaya Malaysia,Bridge Data Centres,2.914565,101.649916,PeeringDB fac 4712,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,cx5 my02 cyberjaya malaysia,True,False,PeeringDB,Bridge Data Centres,,,source_native,,"MY02, Cyberjaya, 63000",https://www.peeringdb.com/fac/4712,pdb_id=4712 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier1_colo,peeringdb_candidates.csv
"TM ONE Brickfields City DC, Kuala Lumpur",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5644,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one brickfields city dc kuala lumpur,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Tun Sambathan, Brickfields, 50470",https://www.peeringdb.com/fac/5644,pdb_id=5644 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
"TM ONE, Plaza VADS",Telekom Malaysia Berhad (TM),3.139446,101.630177,PeeringDB fac 5654,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one plaza vads,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,source_native,,"Plaza VADS, Kuala Lumpur, 60000",https://www.peeringdb.com/fac/5654,pdb_id=5654 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,sovereign_telco,peeringdb_candidates.csv
"TM ONE KVDC, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5655,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one kvdc cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Lingkaran Teknokrat Timur, Cyberjaya, 63000",https://www.peeringdb.com/fac/5655,pdb_id=5655 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
"TM ONE CBJ8, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 5769,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one cbj8 cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/5769,pdb_id=5769 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
"TM ONE PG1, Penang",Telekom Malaysia Berhad (TM),5.424515,100.325495,PeeringDB fac 5770,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one pg1 penang,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,source_native,,"39, Jalan Sultan Ahmad Shah, Georgetown, 10050",https://www.peeringdb.com/fac/5770,pdb_id=5770 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,sovereign_telco,peeringdb_candidates.csv
ModernOne Data Solutions Sdn. Bhd.,ModernOne Data Solutions Sdn. Bhd.,2.977314,101.796223,PeeringDB fac 6018,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,modernone data solutions sdn bhd,True,False,PeeringDB,ModernOne Data Solutions Sdn. Bhd.,,,source_native,,"No 93-2A, Jalan TKS 1,, Kajang, 4000",https://www.peeringdb.com/fac/6018,pdb_id=6018 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
"DANAWA DC, Kuching",Danawa Resources Sdn Bhd,1.51404,110.374811,PeeringDB fac 6488,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,danawa dc kuching,True,False,PeeringDB,Danawa Resources Sdn Bhd,,,source_native,,"Setia Commercial Centre, Kuching, 93350",https://www.peeringdb.com/fac/6488,pdb_id=6488 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
SACOFA Kuching,SACOFA Sdn. Bhd.,1.553771,110.329429,PeeringDB fac 7013,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,sacofa kuching,True,False,PeeringDB,SACOFA Sdn. Bhd.,,,source_native,,"Lot 367, Jalan Satok, Kuching, 93400",https://www.peeringdb.com/fac/7013,pdb_id=7013 | clli= | region=Asia Pacific | status=ok,,new,,,0.2833,tier2_colo,peeringdb_candidates.csv
"TM ONE CBJ2, Cyberjaya",Telekom Malaysia Berhad (TM),,,PeeringDB fac 8711,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tm one cbj2 cyberjaya,True,False,PeeringDB,Telekom Malaysia Berhad (TM),,,,,"Jalan Lingkaran Fauna, Cyberjaya, 63000",https://www.peeringdb.com/fac/8711,pdb_id=8711 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,sovereign_telco,peeringdb_candidates.csv
IP ServerOne MYIX-CJ1,IP ServerOne Solutions Sdn Bhd,,,PeeringDB fac 8746,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,ip serverone myix cj1,True,False,PeeringDB,IP ServerOne Solutions Sdn Bhd,,,,,"Jalan Cyber Point 4,, Cyberjaya, 63000",https://www.peeringdb.com/fac/8746,pdb_id=8746 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier2_colo,peeringdb_candidates.csv
Keppel Data Centres | Keppel DC Johor 1,Keppel Data Centres Holding Pte Ltd,,,PeeringDB fac 9747,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,keppel data centres keppel dc johor 1,True,False,PeeringDB,Keppel Data Centres Holding Pte Ltd,,,,,"Sedenak, Kulai, Johor, 0000",https://www.peeringdb.com/fac/9747,pdb_id=9747 | clli= | region=Asia Pacific | status=ok,,new,,,0.2233,tier1_colo,peeringdb_candidates.csv
