"name","operator","lat","lon","sources","osm_id","wikidata_id","provider","region_code","facility_type","n_sources","ADMIN","ISO_A3","CONTINENT","SUBREGION","name_normalized","has_operator","in_both_sources","source_category"
"AIMS",NA,2.9377516,101.6573578,"OpenStreetMap","1080495340","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","AIMS",FALSE,FALSE,"OSM Only"
"AWS Asia Pacific (Malaysia)","AWS",3.139,101.687,"Cloud Provider (AWS)","","","AWS","ap-southeast-5","cloud_region",1,"Malaysia","MYS","Asia","South-Eastern Asia","AWS Asia Pacific (Malaysia)",TRUE,FALSE,"Hyperscale Cloud"
"Alibaba Cloud Malaysia (Kuala Lumpur)","Alibaba",3.142,101.69,"Cloud Provider (Alibaba)","","","Alibaba","ap-southeast-3","cloud_region",1,"Malaysia","MYS","Asia","South-Eastern Asia","Alibaba Cloud Malaysia (Kuala Lumpur)",TRUE,FALSE,"Hyperscale Cloud"
"Azure Malaysia West","Azure",3.139,101.687,"Cloud Provider (Azure)","","","Azure","malaysiawest","cloud_region",1,"Malaysia","MYS","Asia","South-Eastern Asia","Azure Malaysia West",TRUE,FALSE,"Hyperscale Cloud"
"Google Cloud asia-southeast3 (Malaysia)","GCP",3.14,101.688,"Cloud Provider (GCP)","","","GCP","asia-southeast3","cloud_region",1,"Malaysia","MYS","Asia","South-Eastern Asia","Google Cloud asia-southeast3 (Malaysia)",TRUE,FALSE,"Hyperscale Cloud"
"IRIX DC",NA,1.7096888,110.3534142,"OpenStreetMap","13197364001","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","IRIX Data Center",FALSE,FALSE,"OSM Only"
"Oracle Cloud Kuala Lumpur (kix)","Oracle",3.141,101.689,"Cloud Provider (Oracle)","","","Oracle","ap-kuala-lumpur-1","cloud_region",1,"Malaysia","MYS","Asia","South-Eastern Asia","Oracle Cloud Kuala Lumpur (kix)",TRUE,FALSE,"Hyperscale Cloud"
"TMONE Klang Valley Data Center",NA,2.9325346,101.6573189,"OpenStreetMap","848498975","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","TMONE Klang Valley Data Center",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337885)",NA,1.7033833,103.4134036,"OpenStreetMap","1432337885","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337885)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337898)",NA,1.6939827,103.4190473,"OpenStreetMap","1432337898","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337898)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337899)",NA,1.6921349,103.4123772,"OpenStreetMap","1432337899","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337899)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337900)",NA,1.6930986,103.4179246,"OpenStreetMap","1432337900","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337900)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337901)",NA,1.6923957,103.417064,"OpenStreetMap","1432337901","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337901)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337902)",NA,1.6977265,103.4117312,"OpenStreetMap","1432337902","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337902)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337903)",NA,1.6984869,103.4125333,"OpenStreetMap","1432337903","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337903)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337904)",NA,1.69994,103.4128608,"OpenStreetMap","1432337904","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337904)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337905)",NA,1.6975615,103.4076651,"OpenStreetMap","1432337905","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337905)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337908)",NA,1.7046043,103.412434,"OpenStreetMap","1432337908","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337908)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337909)",NA,1.7029916,103.4103001,"OpenStreetMap","1432337909","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337909)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337910)",NA,1.7019183,103.4089932,"OpenStreetMap","1432337910","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337910)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337911)",NA,1.6988159,103.4106934,"OpenStreetMap","1432337911","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337911)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1432337912)",NA,1.6942378,103.4208341,"OpenStreetMap","1432337912","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1432337912)",FALSE,FALSE,"OSM Only"
"Unnamed facility (OSM way 1448536198)",NA,3.2230752,101.5202934,"OpenStreetMap","1448536198","","","","physical_facility",1,"Malaysia","MYS","Asia","South-Eastern Asia","Unnamed facility (OSM way 1448536198)",FALSE,FALSE,"OSM Only"
