"name","operator","lat","lon","sources","osm_id","wikidata_id","provider","region_code","n_sources","ADMIN","ISO_A3","CONTINENT","SUBREGION","name_normalized","has_operator","in_both_sources","source_category"
"AIMS",NA,2.9377516,101.6573578,"OpenStreetMap","1080495340","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","AIMS",FALSE,FALSE,"OSM Only"
"AWS Asia Pacific (Malaysia)","AWS",3.139,101.687,"Cloud Provider (AWS)","","","AWS","ap-southeast-5",1,"Malaysia","MYS","Asia","South-Eastern Asia","AWS Asia Pacific (Malaysia)",TRUE,FALSE,"Hyperscale Cloud"
"Alibaba Cloud Malaysia (Kuala Lumpur)","Alibaba",3.142,101.69,"Cloud Provider (Alibaba)","","","Alibaba","ap-southeast-3",1,"Malaysia","MYS","Asia","South-Eastern Asia","Alibaba Cloud Malaysia (Kuala Lumpur)",TRUE,FALSE,"Hyperscale Cloud"
"Azure Malaysia West","Azure",3.139,101.687,"Cloud Provider (Azure)","","","Azure","malaysiawest",1,"Malaysia","MYS","Asia","South-Eastern Asia","Azure Malaysia West",TRUE,FALSE,"Hyperscale Cloud"
"Google Cloud asia-southeast3 (Malaysia)","GCP",3.14,101.688,"Cloud Provider (GCP)","","","GCP","asia-southeast3",1,"Malaysia","MYS","Asia","South-Eastern Asia","Google Cloud asia-southeast3 (Malaysia)",TRUE,FALSE,"Hyperscale Cloud"
"IRIX DC",NA,1.7096888,110.3534142,"OpenStreetMap","13197364001","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","IRIX Data Center",FALSE,FALSE,"OSM Only"
"MAF War Gaming Simulation Center",NA,3.1743861,101.7293923,"OpenStreetMap","10939660647","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","MAF War Gaming Simulation Center",FALSE,FALSE,"OSM Only"
"Oracle Cloud Kuala Lumpur (kix)","Oracle",3.141,101.689,"Cloud Provider (Oracle)","","","Oracle","ap-kuala-lumpur-1",1,"Malaysia","MYS","Asia","South-Eastern Asia","Oracle Cloud Kuala Lumpur (kix)",TRUE,FALSE,"Hyperscale Cloud"
"Server Room B2",NA,5.4057625,103.0913249,"OpenStreetMap","7001771562","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","Server Room B2",FALSE,FALSE,"OSM Only"
"TMONE Klang Valley Data Center",NA,2.9325346,101.6573189,"OpenStreetMap","848498975","","","",1,"Malaysia","MYS","Asia","South-Eastern Asia","TMONE Klang Valley Data Center",FALSE,FALSE,"OSM Only"
